
> @ansvar/georgian-law-mcp@1.0.0 ingest
> node --import tsx scripts/ingest.ts --mode full-main-normative --resume --skip-english --quiet

Georgian Law MCP -- Real Matsne ingestion
=========================================
Mode: full-main-normative
Resume mode: enabled (existing seed files are reused)
English titles: skipped (--skip-english)

Search-discovered 51350 document IDs; ingesting 51350 documents.

[21825/51350] processed, ingested=8145, skipped=131, already_present=13549
[21850/51350] processed, ingested=8170, skipped=131, already_present=13549
[21875/51350] processed, ingested=8195, skipped=131, already_present=13549
[21900/51350] processed, ingested=8220, skipped=131, already_present=13549
[21925/51350] processed, ingested=8245, skipped=131, already_present=13549
[21950/51350] processed, ingested=8270, skipped=131, already_present=13549
[21975/51350] processed, ingested=8295, skipped=131, already_present=13549
[22000/51350] processed, ingested=8320, skipped=131, already_present=13549
[22025/51350] processed, ingested=8345, skipped=131, already_present=13549
[22050/51350] processed, ingested=8369, skipped=132, already_present=13549
[22075/51350] processed, ingested=8394, skipped=132, already_present=13549
[22100/51350] processed, ingested=8419, skipped=132, already_present=13549
[22125/51350] processed, ingested=8444, skipped=132, already_present=13549
[22150/51350] processed, ingested=8469, skipped=132, already_present=13549
[22175/51350] processed, ingested=8494, skipped=132, already_present=13549
[22200/51350] processed, ingested=8519, skipped=132, already_present=13549
[22225/51350] processed, ingested=8544, skipped=132, already_present=13549
[22250/51350] processed, ingested=8569, skipped=132, already_present=13549
[22275/51350] processed, ingested=8594, skipped=132, already_present=13549
[22325/51350] processed, ingested=8643, skipped=132, already_present=13550
[22350/51350] processed, ingested=8666, skipped=134, already_present=13550
[22375/51350] processed, ingested=8691, skipped=134, already_present=13550
[22400/51350] processed, ingested=8715, skipped=135, already_present=13550
[22425/51350] processed, ingested=8740, skipped=135, already_present=13550
[22450/51350] processed, ingested=8765, skipped=135, already_present=13550
[22475/51350] processed, ingested=8790, skipped=135, already_present=13550
[22500/51350] processed, ingested=8814, skipped=136, already_present=13550
[22525/51350] processed, ingested=8839, skipped=136, already_present=13550
[22550/51350] processed, ingested=8864, skipped=136, already_present=13550
[22575/51350] processed, ingested=8888, skipped=137, already_present=13550
[22600/51350] processed, ingested=8913, skipped=137, already_present=13550
[22625/51350] processed, ingested=8938, skipped=137, already_present=13550
[22650/51350] processed, ingested=8963, skipped=137, already_present=13550
[22675/51350] processed, ingested=8988, skipped=137, already_present=13550
[22700/51350] processed, ingested=9013, skipped=137, already_present=13550
[22725/51350] processed, ingested=9036, skipped=139, already_present=13550
[22750/51350] processed, ingested=9060, skipped=140, already_present=13550
[22775/51350] processed, ingested=9085, skipped=140, already_present=13550
[22800/51350] processed, ingested=9110, skipped=140, already_present=13550
[22825/51350] processed, ingested=9135, skipped=140, already_present=13550
[22850/51350] processed, ingested=9160, skipped=140, already_present=13550
[22875/51350] processed, ingested=9185, skipped=140, already_present=13550
[22900/51350] processed, ingested=9210, skipped=140, already_present=13550
[22925/51350] processed, ingested=9235, skipped=140, already_present=13550
[22950/51350] processed, ingested=9260, skipped=140, already_present=13550
[22975/51350] processed, ingested=9285, skipped=140, already_present=13550
