
> @ansvar/georgian-law-mcp@1.0.0 ingest
> node --import tsx scripts/ingest.ts --mode full-main-normative --resume --skip-english --quiet

Georgian Law MCP -- Real Matsne ingestion
=========================================
Mode: full-main-normative
Resume mode: enabled (existing seed files are reused)
English titles: skipped (--skip-english)

Search-discovered 51350 document IDs; ingesting 51350 documents.

[08800/51350] processed, ingested=7946, skipped=20, already_present=834
[08825/51350] processed, ingested=7971, skipped=20, already_present=834
[08850/51350] processed, ingested=7996, skipped=20, already_present=834
[08875/51350] processed, ingested=8021, skipped=20, already_present=834
[08900/51350] processed, ingested=8046, skipped=20, already_present=834
[08925/51350] processed, ingested=8071, skipped=20, already_present=834
[08950/51350] processed, ingested=8096, skipped=20, already_present=834
[08975/51350] processed, ingested=8121, skipped=20, already_present=834
[09000/51350] processed, ingested=8146, skipped=20, already_present=834
[09025/51350] processed, ingested=8171, skipped=20, already_present=834
[09050/51350] processed, ingested=8196, skipped=20, already_present=834
[09075/51350] processed, ingested=8221, skipped=20, already_present=834
[09100/51350] processed, ingested=8246, skipped=20, already_present=834
[09125/51350] processed, ingested=8271, skipped=20, already_present=834
[09150/51350] processed, ingested=8296, skipped=20, already_present=834
[09175/51350] processed, ingested=8321, skipped=20, already_present=834
[09200/51350] processed, ingested=8346, skipped=20, already_present=834
[09225/51350] processed, ingested=8371, skipped=20, already_present=834
[09250/51350] processed, ingested=8396, skipped=20, already_present=834
[09275/51350] processed, ingested=8421, skipped=20, already_present=834
[09300/51350] processed, ingested=8446, skipped=20, already_present=834
[09325/51350] processed, ingested=8471, skipped=20, already_present=834
[09350/51350] processed, ingested=8494, skipped=20, already_present=836
[09375/51350] processed, ingested=8518, skipped=20, already_present=837
[09400/51350] processed, ingested=8543, skipped=20, already_present=837
[09425/51350] processed, ingested=8568, skipped=20, already_present=837
[09450/51350] processed, ingested=8593, skipped=20, already_present=837
[09475/51350] processed, ingested=8617, skipped=20, already_present=838
[09500/51350] processed, ingested=8640, skipped=20, already_present=840
[09525/51350] processed, ingested=8664, skipped=20, already_present=841
[09550/51350] processed, ingested=8689, skipped=20, already_present=841
[09575/51350] processed, ingested=8714, skipped=20, already_present=841
[09600/51350] processed, ingested=8739, skipped=20, already_present=841
[09625/51350] processed, ingested=8764, skipped=20, already_present=841
[09675/51350] processed, ingested=8813, skipped=20, already_present=842
[09700/51350] processed, ingested=8838, skipped=20, already_present=842
[09725/51350] processed, ingested=8863, skipped=20, already_present=842
[09750/51350] processed, ingested=8888, skipped=20, already_present=842
[09775/51350] processed, ingested=8912, skipped=21, already_present=842
[09800/51350] processed, ingested=8937, skipped=21, already_present=842
[09825/51350] processed, ingested=8962, skipped=21, already_present=842
[09850/51350] processed, ingested=8987, skipped=21, already_present=842
[09875/51350] processed, ingested=9012, skipped=21, already_present=842
[09900/51350] processed, ingested=9037, skipped=21, already_present=842
[09925/51350] processed, ingested=9062, skipped=21, already_present=842
[09950/51350] processed, ingested=9087, skipped=21, already_present=842
[09975/51350] processed, ingested=9112, skipped=21, already_present=842
[10000/51350] processed, ingested=9136, skipped=21, already_present=843
[10025/51350] processed, ingested=9161, skipped=21, already_present=843
[10050/51350] processed, ingested=9186, skipped=21, already_present=843
[10075/51350] processed, ingested=9210, skipped=22, already_present=843
[10100/51350] processed, ingested=9233, skipped=24, already_present=843
[10125/51350] processed, ingested=9258, skipped=24, already_present=843
[10150/51350] processed, ingested=9282, skipped=25, already_present=843
[10175/51350] processed, ingested=9307, skipped=25, already_present=843
[10200/51350] processed, ingested=9332, skipped=25, already_present=843
[10225/51350] processed, ingested=9357, skipped=25, already_present=843
[10250/51350] processed, ingested=9382, skipped=25, already_present=843
[10275/51350] processed, ingested=9407, skipped=25, already_present=843
[10300/51350] processed, ingested=9432, skipped=25, already_present=843
[10325/51350] processed, ingested=9457, skipped=25, already_present=843
[10375/51350] processed, ingested=9506, skipped=25, already_present=844
[10400/51350] processed, ingested=9530, skipped=25, already_present=845
[10425/51350] processed, ingested=9555, skipped=25, already_present=845
[10450/51350] processed, ingested=9580, skipped=25, already_present=845
[10475/51350] processed, ingested=9605, skipped=25, already_present=845
[10500/51350] processed, ingested=9629, skipped=25, already_present=846
[10525/51350] processed, ingested=9654, skipped=25, already_present=846
[10550/51350] processed, ingested=9679, skipped=25, already_present=846
[10575/51350] processed, ingested=9704, skipped=25, already_present=846
[10600/51350] processed, ingested=9729, skipped=25, already_present=846
[10625/51350] processed, ingested=9754, skipped=25, already_present=846
[10650/51350] processed, ingested=9777, skipped=25, already_present=848
[10675/51350] processed, ingested=9801, skipped=25, already_present=849
[10725/51350] processed, ingested=9848, skipped=25, already_present=852
[10750/51350] processed, ingested=9873, skipped=25, already_present=852
[10775/51350] processed, ingested=9897, skipped=25, already_present=853
[10800/51350] processed, ingested=9922, skipped=25, already_present=853
[10825/51350] processed, ingested=9947, skipped=25, already_present=853
[10850/51350] processed, ingested=9971, skipped=26, already_present=853
[10875/51350] processed, ingested=9996, skipped=26, already_present=853
[10900/51350] processed, ingested=10021, skipped=26, already_present=853
[10925/51350] processed, ingested=10045, skipped=27, already_present=853
[10950/51350] processed, ingested=10069, skipped=28, already_present=853
[10975/51350] processed, ingested=10094, skipped=28, already_present=853
[11000/51350] processed, ingested=10119, skipped=28, already_present=853
[11025/51350] processed, ingested=10144, skipped=28, already_present=853
[11050/51350] processed, ingested=10169, skipped=28, already_present=853
[11075/51350] processed, ingested=10194, skipped=28, already_present=853
[11100/51350] processed, ingested=10219, skipped=28, already_present=853
[11125/51350] processed, ingested=10244, skipped=28, already_present=853
[11150/51350] processed, ingested=10269, skipped=28, already_present=853
[11175/51350] processed, ingested=10294, skipped=28, already_present=853
[11200/51350] processed, ingested=10319, skipped=28, already_present=853
[11225/51350] processed, ingested=10343, skipped=29, already_present=853
[11250/51350] processed, ingested=10368, skipped=29, already_present=853
[11275/51350] processed, ingested=10393, skipped=29, already_present=853
[11300/51350] processed, ingested=10418, skipped=29, already_present=853
[11325/51350] processed, ingested=10443, skipped=29, already_present=853
[11350/51350] processed, ingested=10468, skipped=29, already_present=853
[11375/51350] processed, ingested=10493, skipped=29, already_present=853
[11400/51350] processed, ingested=10517, skipped=30, already_present=853
[11425/51350] processed, ingested=10542, skipped=30, already_present=853
[11450/51350] processed, ingested=10567, skipped=30, already_present=853
[11475/51350] processed, ingested=10592, skipped=30, already_present=853
[11500/51350] processed, ingested=10617, skipped=30, already_present=853
[11525/51350] processed, ingested=10642, skipped=30, already_present=853
[11550/51350] processed, ingested=10667, skipped=30, already_present=853
[11575/51350] processed, ingested=10692, skipped=30, already_present=853
[11600/51350] processed, ingested=10717, skipped=30, already_present=853
[11625/51350] processed, ingested=10742, skipped=30, already_present=853
[11650/51350] processed, ingested=10767, skipped=30, already_present=853
[11675/51350] processed, ingested=10792, skipped=30, already_present=853
[11700/51350] processed, ingested=10817, skipped=30, already_present=853
[11725/51350] processed, ingested=10842, skipped=30, already_present=853
[11750/51350] processed, ingested=10860, skipped=30, already_present=860
[11775/51350] processed, ingested=10885, skipped=30, already_present=860
[11800/51350] processed, ingested=10910, skipped=30, already_present=860
[11825/51350] processed, ingested=10935, skipped=30, already_present=860
[11850/51350] processed, ingested=10958, skipped=30, already_present=862
[11875/51350] processed, ingested=10983, skipped=30, already_present=862
[11900/51350] processed, ingested=11008, skipped=30, already_present=862
[11925/51350] processed, ingested=11033, skipped=30, already_present=862
[11950/51350] processed, ingested=11058, skipped=30, already_present=862
[11975/51350] processed, ingested=11083, skipped=30, already_present=862
[12000/51350] processed, ingested=11108, skipped=30, already_present=862
[12025/51350] processed, ingested=11133, skipped=30, already_present=862
[12050/51350] processed, ingested=11158, skipped=30, already_present=862
[12075/51350] processed, ingested=11183, skipped=30, already_present=862
[12100/51350] processed, ingested=11208, skipped=30, already_present=862
[12125/51350] processed, ingested=11233, skipped=30, already_present=862
[12150/51350] processed, ingested=11258, skipped=30, already_present=862
[12175/51350] processed, ingested=11283, skipped=30, already_present=862
[12200/51350] processed, ingested=11308, skipped=30, already_present=862
